ID,profession,age,gender,highestDegree,maritalStatus,noOfKids,creditRisk,otherMembership,pastStays1y,blogger,articles,amexCard,purposeTravel,staySpend,loyaltyClass 
936,Public Sector,,,MBA,Single,,2.98,Marriott,29,No,5,No,Medical Tourism,17.78171702,Bronze
937,Self-Employed,19,,High School Equivalent,Divorced,,3.16,IHG,22,Yes,0,No,Leisure Travel,0,Bronze
938,Private Sector,38,,High School Equivalent,Married,,3.56,IHG,43,No,5,Yes,Business,2980.885978,Silver
939,Business,28,,High School Equivalent,Divorced,0,3.18,Marriott,31,No,10,No,Medical Tourism,0,Silver
940,Public Sector,,Female,High School Equivalent,Divorced,1,1.59,Marriott,41,No,1,Yes,Leisure Travel,0,Bronze
941,Private Sector,,Female,Doctorate,Single,0,3.45,IHG,,No,7,Yes,Medical Tourism,277.3209878,Gold
942,Private Sector,,,Associate Degree,Single,,3.43,IHG,28,No,3,Yes,Leisure Travel,34.62589314,Silver
943,Public Sector,45,,Associate Degree,Single,0,2.16,Expedia,19,No,13,Yes,Medical Tourism,0,Bronze
944,Business,28,,High School Equivalent,Divorced,,2.47,IHG,22,No,19,No,Medical Tourism,2015.464406,Silver
945,Business,53,Female,MBA,Single,,2.77,IHG,27,No,19,No,Leisure Travel,0,Bronze
946,Private Sector,60,Female,High School Equivalent,Single,0,2.63,IHG,3,Yes,0,Yes,Medical Tourism,0,Bronze
947,Business,,Female,High School Equivalent,Single,,2.59,Jumeirah,43,No,12,Yes,Business,77.83529964,Bronze
948,Business,40,Male,Bachelors Degree,Divorced,1,2.26,IHG,30,No,3,No,Leisure Travel,0,Silver
949,,,Female,Professional,Married,,3.82,Jumeirah,32,No,16,No,Medical Tourism,15368.94297,Silver
950,,,Female,Professional,Married,,3.48,IHG,17,No,7,Yes,Medical Tourism,0,Bronze
951,,,,Associate Degree,Married,1,2.55,Marriott,26,Yes,0,No,Leisure Travel,0,Silver
952,Public Sector,33,Male,High School Equivalent,Single,0,2.48,IHG,38,No,11,Yes,Medical Tourism,0,Bronze
953,Private Sector,,,High School Equivalent,Divorced,,2.68,IHG,39,Yes,0,Yes,Leisure Travel,0,Silver
954,Private Sector,24,Female,Professional,Divorced,3,3.07,Marriott,34,No,1,No,Leisure Travel,0,Silver
955,,51,Female,Professional,Single,0,2.38,IHG,32,No,15,Yes,Leisure Travel,0,Silver
956,Business,49,Female,Technical/Occupational Certificate,Divorced,1,2.75,IHG,2,No,7,Yes,Business,72.65400812,Silver
957,Self-Employed,52,Female,High School Equivalent,Married,0,2.49,Marriott,2,No,10,Yes,Leisure Travel,0,Silver
958,Business,,Female,Associate Degree,Single,,1.87,Marriott,34,Yes,0,Yes,Leisure Travel,0,Bronze
959,Private Sector,,Female,High School Equivalent,Divorced,1,3.08,IHG,4,No,15,No,Medical Tourism,560.7469137,Bronze
960,Private Sector,,Female,Bachelors Degree,Single,0,2.51,None,41,No,13,Yes,Leisure Travel,35.29674108,Gold
961,Private Sector,47,,High School Equivalent,Married,,2.51,None,44,No,17,Yes,Leisure Travel,0,Silver
962,Public Sector,24,,Professional,Married,,2.15,IHG,40,No,1,No,Leisure Travel,14275.35881,Bronze
963,Private Sector,21,Female,High School Equivalent,Widowed,3,2.22,Marriott,20,No,14,No,Leisure Travel,0,Bronze
964,Business,27,Male,High School Equivalent,Single,,2.07,IHG,26,No,18,Yes,Medical Tourism,3931.676408,Bronze
965,Private Sector,52,,High School Equivalent,Married,,3.52,IHG,15,No,16,Yes,Business,0,Silver
966,Private Sector,42,Male,MBA,Divorced,4,2.69,IHG,19,No,19,Yes,Business,0.167595575,Silver
967,,,Male,MBA,Married,,2.69,Jumeirah,14,No,13,No,Leisure Travel,0,Gold
968,,32,Male,Bachelors Degree,Widowed,2,3.26,None,20,Yes,0,Yes,Leisure Travel,0,Bronze
969,Private Sector,,Male,Professional,Married,,2.13,IHG,10,No,6,Yes,Leisure Travel,35.43547717,Silver
970,Business,,,Masters Degree,Single,,2.61,IHG,28,No,4,No,Leisure Travel,1767.030143,Bronze
971,Business,45,,MBA,Single,,3.29,IHG,41,No,11,No,Leisure Travel,0,Silver
972,Self-Employed,,Female,Bachelors Degree,Divorced,1,3.72,Discovery,44,No,2,Yes,Medical Tourism,0,Bronze
973,,,Female,Associate Degree,Married,1,3.08,Marriott,5,Yes,0,Yes,Business,0,Silver
974,Business,58,,Bachelors Degree,Widowed,,3.14,IHG,12,No,18,Yes,Medical Tourism,14233.3143,Bronze
975,Private Sector,,Female,MBA,Single,,2.36,None,39,No,14,Yes,Leisure Travel,241.6260963,Bronze
976,Private Sector,23,,High School Equivalent,Divorced,1,1.84,Marriott,13,No,18,Yes,Leisure Travel,6089.777153,Silver
977,Private Sector,31,Female,MBA,Married,0,2.85,Marriott,33,No,17,Yes,Medical Tourism,0,Silver
978,,,Male,High School Equivalent,Single,0,3.16,IHG,7,No,3,No,Leisure Travel,0,Bronze
979,Business,,Female,High School Equivalent,Widowed,,2.42,IHG,25,Yes,0,No,Business,2.64199646,Bronze
980,Private Sector,34,Female,High School Equivalent,Divorced,0,2.93,Marriott,0,No,3,Yes,Medical Tourism,0,Silver
981,Private Sector,,Male,Bachelors Degree,Single,0,3.73,Marriott,17,Yes,0,No,Business,0,Gold
982,Private Sector,45,Female,Professional,Widowed,1,3.09,IHG,4,No,9,No,Medical Tourism,1175.136225,Bronze
983,Private Sector,33,Male,Bachelors Degree,Married,,3.17,Marriott,8,No,9,No,Business,0,Silver
984,Public Sector,29,Male,Associate Degree,Divorced,,1.65,Discovery,15,No,17,Yes,Medical Tourism,0,Silver
985,Business,18,Male,High School Equivalent,Single,0,3.42,Discovery,34,No,1,No,Medical Tourism,0,Gold
986,Self-Employed,,Female,MBA,Widowed,1,2.84,Marriott,24,Yes,0,Yes,Leisure Travel,356.2614229,Bronze
987,Business,60,Male,Associate Degree,Married,,3.1,Discovery,23,No,13,No,Medical Tourism,0,Silver
988,Private Sector,,Male,Masters Degree,Single,0,3.8,Discovery,25,Yes,0,Yes,Medical Tourism,139.3213984,Silver
989,Private Sector,,,MBA,Widowed,,3.09,Marriott,3,Yes,0,Yes,Business,2.047137527,Bronze
990,Private Sector,32,,Associate Degree,Divorced,1,2.73,Marriott,38,No,1,Yes,Business,0.784544258,Silver
991,Private Sector,19,Female,Associate Degree,Married,1,2.89,Expedia,7,Yes,0,Yes,Leisure Travel,0,Silver
992,Private Sector,35,Male,Bachelors Degree,Divorced,,2.47,Discovery,33,No,19,No,Medical Tourism,0,Silver
993,,41,Female,High School Equivalent,Married,,2.85,Expedia,4,Yes,0,No,Leisure Travel,0.000652539,Bronze
994,Business,,Male,Associate Degree,Married,,1.75,IHG,45,No,7,No,Medical Tourism,14855.60244,Silver
995,Business,,Male,High School Equivalent,Single,0,2.12,Marriott,6,No,9,Yes,Business,2.685952492,Silver
996,Private Sector,54,Female,MBA,Divorced,0,3.07,None,42,Yes,0,No,Medical Tourism,31.94868367,Silver
997,Private Sector,,Female,Associate Degree,Married,0,2.58,Jumeirah,16,No,14,Yes,Business,5814.163946,Silver
998,Business,,Female,MBA,Divorced,1,2.46,IHG,21,Yes,0,No,Leisure Travel,286.1996091,Silver
999,Private Sector,42,Male,Professional,Divorced,1,2.46,IHG,26,No,4,No,Leisure Travel,0,Silver
1000,Private Sector,60,,Professional,Widowed,1,3,IHG,14,No,9,No,Medical Tourism,0,Bronze
1001,Public Sector,55,Male,MBA,Divorced,,2.39,Jumeirah,3,No,9,No,Business,25.54442083,Silver
1002,,,Female,High School Equivalent,Divorced,2,2.99,None,1,No,5,Yes,Business,701.4773056,Bronze
1003,Business,,Female,Associate Degree,Divorced,,3,None,,No,16,No,Leisure Travel,11.43215234,Silver
1004,Private Sector,,Female,MBA,Married,,2.18,IHG,46,Yes,0,Yes,Business,30.4613686,Bronze
1005,Private Sector,,Female,Bachelors Degree,Married,0,1.96,Discovery,,No,12,No,Leisure Travel,8110.327089,Silver
1006,Self-Employed,,Male,High School Equivalent,Married,4,2.74,IHG,36,No,7,No,Business,0,Silver
1007,Private Sector,51,Male,Associate Degree,Married,,4,Discovery,27,No,18,Yes,Leisure Travel,0,Bronze
1008,Business,,,High School Equivalent,Single,,2.55,IHG,41,Yes,0,No,Business,0,Silver
1009,Private Sector,37,Male,Associate Degree,Divorced,0,3.28,IHG,41,No,11,No,Medical Tourism,2.41021E-06,Silver
1010,Self-Employed,23,Male,Bachelors Degree,Married,1,2.8,Marriott,16,No,7,No,Business,10843.73601,Silver
1011,Business,,Male,High School Equivalent,Divorced,,2.84,IHG,24,No,10,Yes,Medical Tourism,239.1111203,Silver
1012,Business,56,Female,MBA,Widowed,4,2.51,IHG,39,No,10,No,Leisure Travel,5624.382336,Bronze
1013,Public Sector,54,Male,MBA,Married,4,3.87,Expedia,22,No,8,No,Business,132.7996955,Bronze
1014,Private Sector,,Male,Associate Degree,Married,3,2.8,IHG,39,Yes,0,No,Business,0,Silver
1015,Public Sector,40,Female,MBA,Divorced,,2.61,IHG,15,No,16,No,Business,3.134362415,Bronze
1016,Private Sector,34,Female,MBA,Single,,3.66,Marriott,34,No,20,Yes,Leisure Travel,8961.061248,Bronze
1017,Business,32,,Professional,Married,1,2.69,None,43,Yes,0,No,Business,4522.222433,Bronze
1018,Public Sector,,Female,Associate Degree,Widowed,3,3.47,IHG,,No,19,Yes,Medical Tourism,2.540431954,Bronze
1019,Business,54,Female,Professional,Widowed,1,4,Expedia,34,Yes,0,Yes,Medical Tourism,4619.250866,Bronze
1020,Private Sector,59,,Bachelors Degree,Widowed,3,2.27,None,,No,16,No,Medical Tourism,752.3063061,Bronze
1021,Business,42,Female,Bachelors Degree,Single,0,2.84,Discovery,36,No,19,Yes,Business,148.6764948,Bronze
1022,Private Sector,45,,High School Equivalent,Single,0,2.79,Jumeirah,33,Yes,0,Yes,Business,353.2736544,Silver
1023,Private Sector,38,Female,MBA,Divorced,,3.69,Discovery,48,No,6,Yes,Leisure Travel,0,Silver
1024,Business,46,Male,MBA,Divorced,,3.61,Expedia,9,Yes,0,No,Leisure Travel,104.9120776,Silver
1025,Private Sector,54,Female,MBA,Single,0,2.36,IHG,44,No,16,Yes,Business,0,Silver
1026,Business,,,High School Equivalent,Married,1,3.28,Marriott,37,No,6,No,Leisure Travel,34.75385588,Silver
1027,Business,,Male,High School Equivalent,Divorced,,3.41,IHG,11,No,1,No,Medical Tourism,0,Bronze
1028,Private Sector,50,,High School Equivalent,Divorced,1,3,IHG,35,No,6,Yes,Medical Tourism,3517.451756,Bronze
1029,Private Sector,28,,High School Equivalent,Divorced,,2.78,Expedia,,No,12,No,Business,0,Bronze
1030,Private Sector,55,,MBA,Single,,2.55,Marriott,16,Yes,0,Yes,Medical Tourism,4813.551519,Silver
1031,Private Sector,,,High School Equivalent,Married,3,2.99,Marriott,1,No,11,Yes,Business,715.2987249,Silver
1032,Private Sector,,Male,Bachelors Degree,Single,,1.85,Marriott,19,No,3,Yes,Business,8.554868349,Silver
1033,Public Sector,,,MBA,Married,1,2.44,IHG,15,Yes,0,No,Leisure Travel,0,Silver
1034,Public Sector,38,Female,Bachelors Degree,Married,1,2.65,None,20,No,3,Yes,Medical Tourism,0,Gold
1035,Private Sector,,Female,Bachelors Degree,Divorced,,2.65,Discovery,26,No,7,Yes,Medical Tourism,0,Bronze
1036,Public Sector,,Female,MBA,Divorced,2,2.65,None,,No,10,No,Leisure Travel,5144.814953,Bronze
1037,Self-Employed,,Female,Bachelors Degree,Single,,3.89,IHG,46,No,12,No,Medical Tourism,0,Bronze
1038,Private Sector,27,,Bachelors Degree,Single,,2.65,IHG,7,No,11,No,Leisure Travel,1623.160773,Bronze
1039,Business,44,,Associate Degree,Married,1,3.1,IHG,8,No,20,Yes,Medical Tourism,0,Bronze
1040,Business,,,Professional,Divorced,1,2.49,Marriott,35,No,15,Yes,Medical Tourism,0,Silver
1041,Business,,Male,Associate Degree,Married,0,2.6,Discovery,43,No,3,Yes,Leisure Travel,533.109774,Silver
1042,Private Sector,,,MBA,Married,,2.3,Discovery,9,Yes,0,Yes,Business,16865.41359,Silver
1043,Business,57,,High School Equivalent,Married,,3.05,IHG,22,No,15,Yes,Leisure Travel,52899.44089,Silver
1044,,,Male,MBA,Married,,3.07,Marriott,30,No,13,No,Leisure Travel,0,Bronze
1045,Business,54,,High School Equivalent,Divorced,1,2.17,Discovery,24,No,4,No,Business,141.6610542,Bronze
1046,Private Sector,46,Female,MBA,Married,,2.91,IHG,16,No,15,Yes,Leisure Travel,1041.282807,Bronze
1047,Private Sector,,,Associate Degree,Single,,2.66,Marriott,47,No,10,No,Leisure Travel,0,Gold
1048,Business,27,Female,High School Equivalent,Married,1,2.83,IHG,,No,19,No,Medical Tourism,1203.304661,Bronze
1049,Public Sector,,Female,Associate Degree,Single,0,2.45,IHG,19,Yes,0,Yes,Leisure Travel,0,Bronze
1050,Public Sector,,,Professional,Married,,3.34,IHG,,No,4,No,Leisure Travel,3770.764173,Silver
1051,Public Sector,,Male,High School Equivalent,Divorced,1,3.42,IHG,,No,19,Yes,Medical Tourism,43.25082865,Bronze
1052,Private Sector,38,Female,Associate Degree,Single,,3.36,IHG,29,Yes,0,Yes,Medical Tourism,0.094538168,Silver
1053,Public Sector,53,Male,High School Equivalent,Married,1,3.06,IHG,26,No,13,No,Leisure Travel,0,Silver
1054,Private Sector,42,Female,Bachelors Degree,Married,1,2.72,Marriott,18,No,2,Yes,Medical Tourism,0,Silver
1055,Self-Employed,,Female,MBA,Married,1,2.72,IHG,19,No,18,No,Medical Tourism,11.15409835,Silver
1056,Private Sector,32,Female,MBA,Divorced,,3.61,IHG,6,Yes,0,Yes,Business,4301.337124,Gold
1057,Private Sector,,Male,Professional,Married,1,2.98,Hilton,39,Yes,0,No,Business,6431.157333,Silver
1058,Business,,Female,MBA,Single,,2.38,IHG,35,No,20,Yes,Leisure Travel,0,Bronze
1059,Public Sector,56,Male,High School Equivalent,Divorced,1,3.14,Marriott,,No,11,Yes,Business,0,Bronze
1060,,20,Male,Bachelors Degree,Married,,2.54,Jumeirah,2,No,15,No,Business,23.24030193,Silver
1061,Public Sector,27,Female,High School Equivalent,Widowed,1,2.18,IHG,3,Yes,0,No,Medical Tourism,0,Bronze
1062,Private Sector,45,,Bachelors Degree,Divorced,0,3.83,IHG,1,No,12,No,Medical Tourism,1694.737239,Silver
1063,Private Sector,45,Female,Bachelors Degree,Married,2,3.66,Jumeirah,26,No,4,No,Leisure Travel,0,Gold
1064,Private Sector,,Female,High School Equivalent,Single,,2.35,Marriott,35,No,17,No,Business,4644.301697,Bronze
1065,Public Sector,,,Associate Degree,Married,,3.01,None,9,No,2,No,Business,473.9355547,Silver
1066,Self-Employed,48,Female,High School Equivalent,Single,0,2.94,Marriott,38,No,9,No,Business,0.015568822,Silver
1067,Private Sector,29,Female,Professional,Married,1,2.45,None,15,No,16,Yes,Business,8250.344306,Bronze
1068,Business,,Male,Associate Degree,Married,,2.22,Discovery,45,No,1,No,Business,11.28630308,Silver
1069,Private Sector,36,Male,Bachelors Degree,Single,0,2.26,Hilton,,Yes,0,Yes,Medical Tourism,0,Silver
1070,Public Sector,28,Female,High School Equivalent,Married,1,3.23,None,1,No,14,Yes,Business,739.3610445,Bronze
1071,Public Sector,45,Female,Doctorate,Divorced,2,3.61,None,16,No,11,No,Medical Tourism,0,Bronze
1072,Public Sector,39,Male,MBA,Divorced,1,3.89,Marriott,13,Yes,0,Yes,Business,2540.763037,Silver
1073,Public Sector,32,Female,High School Equivalent,Married,1,2.4,Discovery,31,No,9,No,Business,4607.347571,Bronze
1074,Business,55,,Associate Degree,Married,,2.54,Marriott,35,Yes,0,Yes,Business,0.001427191,Silver
1075,Public Sector,22,Male,MBA,Married,0,3.1,Jumeirah,32,No,4,Yes,Business,0,Bronze
1076,Private Sector,,Female,High School Equivalent,Single,0,2.31,Discovery,12,No,16,No,Business,8.303954493,Silver
1077,Private Sector,,Female,MBA,Divorced,,2.9,IHG,27,No,19,No,Business,25549.02343,Silver
1078,Business,,Female,MBA,Divorced,1,2.94,Marriott,20,No,6,No,Medical Tourism,0,Bronze
1079,Private Sector,,Female,Masters Degree,Married,,3.34,IHG,9,No,10,Yes,Business,155.459262,Bronze
1080,Self-Employed,,Female,Bachelors Degree,Single,0,2.71,Jumeirah,24,Yes,0,Yes,Leisure Travel,1421.681265,Bronze
1081,Business,52,Female,High School Equivalent,Widowed,,3.48,IHG,25,No,16,No,Medical Tourism,26.3928538,Bronze
1082,Self-Employed,51,Male,High School Equivalent,Single,,3.03,IHG,15,No,1,No,Leisure Travel,0,Bronze
1083,,,Male,Associate Degree,Married,2,2.74,Marriott,3,No,17,Yes,Leisure Travel,0,Silver
1084,Business,,Male,Associate Degree,Single,0,2.78,Hilton,28,No,2,No,Medical Tourism,0,Silver
1085,Self-Employed,39,Male,Bachelors Degree,Married,0,3.24,IHG,0,Yes,0,Yes,Business,0,Bronze
1086,Business,,Female,Associate Degree,Widowed,,2.84,IHG,11,No,5,Yes,Business,0,Bronze
1087,Private Sector,18,,Bachelors Degree,Single,0,3.19,IHG,10,No,15,Yes,Business,886.1594928,Silver
1088,Private Sector,37,Male,High School Equivalent,Married,,2.37,IHG,47,No,18,No,Leisure Travel,0,Bronze
1089,Private Sector,38,Male,Professional,Single,0,3.41,Marriott,,No,12,Yes,Business,0,Bronze
1090,Private Sector,,Male,High School Equivalent,Divorced,1,2.47,Marriott,17,No,14,Yes,Leisure Travel,1766.961827,Bronze
1091,Public Sector,,Female,High School Equivalent,Single,0,3.06,Marriott,,No,13,Yes,Business,2698.317364,Bronze
1092,Private Sector,,Female,Bachelors Degree,Divorced,,3.92,IHG,4,No,12,Yes,Business,1966.155088,Silver
1093,Business,51,Female,MBA,Single,,2.68,None,,Yes,0,Yes,Medical Tourism,543.8559112,Silver
1094,Self-Employed,43,Female,Associate Degree,Single,,2.88,Marriott,46,Yes,0,No,Medical Tourism,2.850008227,Silver
1095,Self-Employed,,Female,High School Equivalent,Divorced,,3.44,Marriott,,No,16,Yes,Medical Tourism,603.0703944,Bronze
1096,,35,Female,High School Equivalent,Single,,2.98,None,,No,3,No,Business,4302.929609,Bronze
1097,Business,25,Female,High School Equivalent,Divorced,,3.05,Marriott,20,No,14,Yes,Medical Tourism,0,Silver
1098,Business,,Female,High School Equivalent,Married,,2.57,IHG,49,No,6,Yes,Business,0,Bronze
1099,Private Sector,,Male,High School Equivalent,Widowed,,2.97,Marriott,13,No,11,Yes,Leisure Travel,0.074916625,Bronze
1100,Business,,Male,MBA,Divorced,,3.01,IHG,19,No,8,No,Medical Tourism,0,Bronze
1101,Private Sector,40,Female,MBA,Married,,3.47,IHG,28,No,6,Yes,Business,3.898022992,Silver
1102,Business,,Female,MBA,Married,3,3.14,IHG,33,No,16,No,Leisure Travel,0,Silver
1103,Private Sector,38,Female,Associate Degree,Married,0,2.43,IHG,18,No,1,No,Medical Tourism,1236.51028,Silver
1104,Public Sector,,Female,MBA,Widowed,1,2.72,Marriott,34,Yes,0,Yes,Business,0,Bronze
1105,Private Sector,46,Male,High School Equivalent,Single,0,2.13,IHG,,No,12,No,Business,0,Silver
1106,Business,22,,Bachelors Degree,Divorced,1,2.66,Discovery,,No,19,No,Leisure Travel,0,Silver
1107,Public Sector,42,Male,Professional,Single,,3.39,Hilton,6,No,10,No,Leisure Travel,0,Silver
1108,Private Sector,,Female,MBA,Divorced,1,3.58,IHG,36,No,12,No,Leisure Travel,0,Silver
1109,,48,Male,MBA,Single,,2.35,IHG,42,Yes,0,Yes,Business,6400.581513,Silver
1110,Public Sector,,Male,MBA,Single,0,2.32,Marriott,43,No,15,No,Leisure Travel,193.316948,Bronze
1111,Public Sector,27,Male,High School Equivalent,Married,2,3.21,IHG,,No,11,Yes,Business,2.117419544,Bronze
1112,Self-Employed,,,Masters Degree,Married,3,3.15,Hilton,22,Yes,0,No,Business,1.960856084,Silver
1113,Public Sector,36,,MBA,Married,,2.68,IHG,,No,1,No,Leisure Travel,0,Bronze
1114,Public Sector,49,,High School Equivalent,Divorced,,2.57,Jumeirah,6,No,13,No,Medical Tourism,0,Silver
1115,Private Sector,,,Bachelors Degree,Divorced,1,3.1,Marriott,8,Yes,0,No,Leisure Travel,0,Silver
1116,Public Sector,36,,High School Equivalent,Divorced,1,3.26,Jumeirah,47,Yes,0,Yes,Leisure Travel,1.0721E-08,Bronze
1117,Private Sector,32,,Professional,Married,1,2.52,Marriott,34,Yes,0,Yes,Medical Tourism,0,Silver
1118,Private Sector,53,Male,MBA,Single,0,2.16,Marriott,41,No,9,No,Leisure Travel,0,Bronze
1119,Private Sector,34,,MBA,Married,1,3.41,Expedia,44,No,4,No,Medical Tourism,490.427523,Silver
1120,Private Sector,,,Masters Degree,Single,0,2.96,Marriott,,No,1,Yes,Medical Tourism,0,Silver
1121,Business,,Male,High School Equivalent,Widowed,,2.95,Marriott,,No,6,Yes,Medical Tourism,614.1826016,Bronze
1122,Public Sector,43,Male,Associate Degree,Widowed,,3.43,None,21,Yes,0,No,Business,0,Bronze
1123,Public Sector,41,Female,Bachelors Degree,Single,,3.22,Expedia,29,No,19,No,Medical Tourism,0,Bronze
1124,Business,52,Female,High School Equivalent,Single,0,3.14,Jumeirah,19,No,8,Yes,Leisure Travel,0,Silver
1125,Public Sector,,,MBA,Married,3,2.92,None,47,No,14,No,Medical Tourism,0,Silver
1126,Private Sector,49,,High School Equivalent,Married,,2.21,None,23,Yes,0,Yes,Leisure Travel,0,Bronze
1127,Private Sector,29,,Technical/Occupational Certificate,Single,0,2.42,Expedia,47,No,13,Yes,Leisure Travel,0.546117283,Bronze
1128,,53,Female,MBA,Single,,3.42,Jumeirah,39,No,9,Yes,Business,0,Silver
1129,Self-Employed,41,Male,High School Equivalent,Married,,2.51,Expedia,35,No,5,No,Business,0,Bronze
1130,Business,24,Female,MBA,Married,,2.82,Discovery,14,No,18,Yes,Medical Tourism,0,Bronze
1131,Private Sector,25,Female,Professional,Married,,3.37,IHG,37,No,9,Yes,Medical Tourism,486.4879055,Silver
1132,Business,30,,Bachelors Degree,Single,0,2.97,IHG,48,Yes,0,Yes,Leisure Travel,1914.800207,Silver
1133,Self-Employed,31,Female,MBA,Divorced,,2.5,Marriott,26,Yes,0,Yes,Leisure Travel,0.109353616,Silver
1134,Private Sector,48,,High School Equivalent,Single,,2.8,IHG,,Yes,0,Yes,Leisure Travel,0,Bronze
1135,Business,,,High School Equivalent,Married,1,3.5,Jumeirah,11,No,1,No,Business,0,Silver
1136,Private Sector,,Male,Masters Degree,Single,,3.34,Marriott,3,No,1,No,Medical Tourism,85.25399985,Silver
1137,Public Sector,47,Female,Bachelors Degree,Married,1,2.98,None,3,No,7,No,Medical Tourism,0,Bronze
1138,Business,54,Female,Doctorate,Divorced,3,2.02,Jumeirah,27,Yes,0,No,Leisure Travel,0,Silver
1139,Private Sector,,,Associate Degree,Divorced,0,3.45,Discovery,16,Yes,0,No,Business,0,Silver
1140,Private Sector,,Male,Doctorate,Married,,2.55,IHG,5,Yes,0,No,Medical Tourism,0,Silver
1141,Self-Employed,,,High School Equivalent,Divorced,,2.91,Expedia,10,No,20,Yes,Business,0,Gold
1142,Business,50,Female,MBA,Married,1,2.97,IHG,34,Yes,0,No,Business,0,Silver
1143,Private Sector,21,Male,Doctorate,Divorced,1,2.38,IHG,40,No,10,No,Leisure Travel,0,Bronze
1144,Public Sector,18,Female,High School Equivalent,Widowed,2,2.87,None,45,Yes,0,Yes,Business,0,Silver
1145,Private Sector,44,,MBA,Married,1,2.83,IHG,11,Yes,0,Yes,Medical Tourism,52.65405145,Silver
1146,Private Sector,,Female,High School Equivalent,Single,0,3.23,Marriott,,No,2,No,Medical Tourism,341.6272911,Silver
1147,Private Sector,,Female,Associate Degree,Widowed,1,2.54,Discovery,4,No,9,Yes,Business,0,Bronze
1148,Private Sector,,,Bachelors Degree,Divorced,,2.8,IHG,1,Yes,0,No,Medical Tourism,302.2669319,Silver
1149,Private Sector,,Male,Bachelors Degree,Married,,2.94,Marriott,6,No,8,Yes,Leisure Travel,0,Bronze
1150,Private Sector,,Female,Associate Degree,Widowed,1,2.31,IHG,11,No,12,Yes,Medical Tourism,0,Bronze
1151,Private Sector,36,,Associate Degree,Single,,2.87,Discovery,,No,13,No,Leisure Travel,204.0352786,Silver
1152,Business,,Male,Professional,Married,,3.12,Marriott,46,No,11,Yes,Medical Tourism,0,Silver
1153,Self-Employed,,,Technical/Occupational Certificate,Married,,3.68,IHG,1,Yes,0,No,Leisure Travel,0,Bronze
1154,Public Sector,21,,Masters Degree,Divorced,,3.6,Jumeirah,15,No,17,Yes,Leisure Travel,0,Bronze
1155,Public Sector,,Male,High School Equivalent,Married,1,3.51,IHG,17,No,15,Yes,Medical Tourism,0,Bronze
1156,Business,36,Female,Associate Degree,Single,,3.62,IHG,31,No,14,Yes,Medical Tourism,0,Silver
1157,Business,,Male,High School Equivalent,Married,4,2.75,Expedia,20,Yes,0,No,Business,0,Bronze
1158,Business,,,High School Equivalent,Married,0,2.75,IHG,,No,13,Yes,Business,497.0430785,Bronze
1159,Private Sector,52,Female,High School Equivalent,Married,1,2.37,Discovery,,No,16,No,Business,14187.24131,Bronze
1160,Private Sector,,,Masters Degree,Widowed,1,2.94,IHG,13,No,1,No,Business,0,Bronze
1161,Private Sector,,Female,High School Equivalent,Married,,2.71,Discovery,6,No,20,No,Business,0,Bronze
1162,Business,49,Male,High School Equivalent,Single,0,2.76,Marriott,13,Yes,0,Yes,Leisure Travel,9913.731693,Silver
1163,Private Sector,,Female,MBA,Widowed,,3.27,Marriott,26,No,6,Yes,Business,2.355796281,Silver
1164,Public Sector,19,,High School Equivalent,Single,,3.11,IHG,32,No,1,No,Leisure Travel,5689.104193,Gold
1165,Private Sector,,Female,High School Equivalent,Widowed,,2.78,IHG,9,Yes,0,No,Business,0,Silver
1166,Self-Employed,53,,MBA,Married,1,3.55,Expedia,45,No,2,No,Business,1.213773414,Silver
1167,Self-Employed,23,Female,High School Equivalent,Single,0,2.86,Discovery,32,No,13,Yes,Business,0,Bronze
1168,Business,,,Bachelors Degree,Married,0,2.59,IHG,,No,9,Yes,Business,17.46607078,Silver
1169,Public Sector,40,Female,High School Equivalent,Married,0,2.73,Hilton,46,Yes,0,No,Medical Tourism,0,Silver
1170,Private Sector,,Female,High School Equivalent,Single,,3.21,IHG,15,No,7,Yes,Medical Tourism,7600.478348,Bronze
1171,Private Sector,,Female,MBA,Single,,3.05,Marriott,3,Yes,0,No,Leisure Travel,0,Silver
1172,Public Sector,,Female,MBA,Single,,1.78,Hilton,30,No,15,Yes,Leisure Travel,21955.716,Bronze
1173,Private Sector,55,,Technical/Occupational Certificate,Divorced,4,3.48,Marriott,35,No,9,Yes,Business,194.8505096,Bronze
1174,Public Sector,,Female,MBA,Single,0,2.6,IHG,49,No,18,Yes,Business,0,Silver
1175,Public Sector,25,Female,High School Equivalent,Married,0,2.64,IHG,48,No,8,No,Medical Tourism,40.63965728,Bronze
1176,,44,Female,High School Equivalent,Divorced,0,2.82,Marriott,,Yes,0,No,Medical Tourism,0,Silver
1177,Private Sector,,Male,MBA,Single,0,3.09,IHG,49,No,14,Yes,Business,428.7233496,Silver
1178,Business,20,Male,Bachelors Degree,Widowed,1,3.4,IHG,40,Yes,0,Yes,Medical Tourism,638.9285969,Silver
1179,Private Sector,,Male,Associate Degree,Married,,3.21,IHG,18,No,3,No,Leisure Travel,0.115152384,Silver
1180,Private Sector,44,Female,High School Equivalent,Divorced,,3.03,Hilton,45,No,1,No,Medical Tourism,1787.322735,Silver
1181,Private Sector,36,,High School Equivalent,Widowed,1,2.54,Expedia,49,Yes,0,No,Leisure Travel,6.65902E-12,Silver
